publication_number,country,kind_code,family_id,application_number,publication_date,priority_date,title,abstract,assignee,inventor,cpc,ipc,matched_via,relevance_score,relevance_reason
CN-120373103-B,CN,B,96444650,CN-202510458163-A,20260324,20250414,Analysis method for dynamic response index of concrete arch dam structure affected by earthquake,"The invention discloses a dynamic response index analysis method of a concrete arch dam structure affected by an earthquake, which comprises the steps of collecting various displacement response indexes and stress response indexes of the concrete arch dam in each unit time and damage indexes of the working state of the concrete arch dam in each unit time by various data collecting sensors, storing collected data and sending the data to an engineer data centralized control center, carrying out normalization processing on the data, mapping the data with different physical dimensions to the same numerical range, dividing the arch dam into different nodes according to the structural characteristics of the concrete arch dam, constructing a node characteristic matrix, and generating a to-be-maintained repair instruction of the concrete arch dam if the various displacement response indexes and the stress response indexes are not in preset safety limiting boundary conditions and feeding back the to a safety analysis model interface of the concrete arch dam structure by a multi-mode data centralized control server. The method can send the to-be-maintained repair instruction of the concrete arch dam in time, and improves the analysis efficiency.",,,G06F2119/14 | G06N5/041 | G06F30/27,G06N5/04 | G06F119/14 | G06F30/27,general,2,地震影響下のコンクリートアーチダム動的応答分析。安全境界条件の監視目的
CN-120974937-B,CN,B,97648898,CN-202511492584-A,20260324,20251020,Electromagnetic pulse transmission simulation method and system based on scattering matrix and crossing ionosphere,"The invention provides an electromagnetic pulse transmission simulation method and system based on a scattering matrix, wherein the method comprises the steps of constructing a source area waveform signal, carrying out Fourier transform on the source area waveform signal to obtain the amplitude and the phase of different frequency components of the source area signal, uniformly layering the ionized layer to obtain the electron density, the electron collision frequency and the total electron content of a path along which the ionized layer is layered, writing the scattering matrix by boundary conditions, combining the scattering matrices among all adjacent layers after the uniform layering of the ionized layer to construct a global matrix, calculating a total transmission coefficient, calculating the amplitude attenuation and the phase change of a single-frequency signal when the ionized layer is transmitted according to the total transmission coefficient, carrying out Fourier inverse transform according to the amplitude attenuation and the phase change to obtain a time domain signal after the ionized layer is passed, updating the source area waveform signal, and comprehensively and accurately describing the scattering characteristics of electromagnetic waves in a complex environment by a final simulation result.",,,G06F2123/02 | G06F18/22 | G06F18/2131 | G06F30/27,G06F123/02 | G06F18/22 | G06F18/2131 | G06F30/27,general,1,電磁パルス伝搬シミュレーション(電離層)。境界条件を用いた物理解析手法
CN-120217633-B,CN,B,96108817,CN-202510158756-A,20260320,20250213,"Electromagnetic-heat flow coupling simulation method, device, medium and program product for superconducting power equipment based on iterative algorithm","The invention relates to an electromagnetic-heat flow coupling simulation method, equipment, medium and program product of superconducting power equipment based on an iterative algorithm, wherein the simulation method comprises the following steps of constructing a simplified basic model of the superconducting power equipment; the method comprises the steps of calculating steady-state alternating-current loss distribution of a coil, simulating and calculating temperature distribution of a superconducting coil and cooling liquid, feeding back the obtained temperature distribution of the superconducting coil and cooling liquid to an electromagnetic simulation process, calculating alternating-current loss as an input temperature boundary condition, feeding back the alternating-current loss to the heat flow simulation process, calculating the temperature distribution, forming an iteration loop, determining total alternating-current loss of superconducting equipment according to the alternating-current loss distribution in the iteration, and calculating the change rate based on the total alternating-current loss. Compared with the prior art, the invention can comprehensively consider the mutual influence of the electromagnetic field and the thermal field on the premise of not obviously increasing the simulation complexity, and can obtain the alternating current loss and the temperature of the superconducting power equipment more accurately.",,,G06F2113/08 | G06F2119/14 | G06F2119/08 | G06F30/28 | G06F30/10 | G06F30/20,G06F119/14 | G06F119/08 | G06F113/08 | G06F30/28 | G06F30/10 | G06F30/20,general,1,超電導電力機器の電磁-熱流結合シミュレーション。設計解析目的
CN-116127723-B,CN,B,86307184,CN-202211670487-A,20260320,20221220,Method for evaluating capacitance value and predicting residual life based on charging time,"The invention relates to a capacitor life prediction method, in particular to a capacitor capacity value assessment and residual life prediction method based on charging time. According to the method, parameters of corresponding time from 100% to 70% of capacity fading to 800V of fading charge are established through semi-physical simulation, charging time data under each capacity is obtained, and therefore a capacitive state identification SVM model and a capacitive fading state model which accord with product characteristic deviation and fading trend are established. The decay of the capacitor is a long-term process, the time of charging the capacitor to 800V is monitored in real time, data of 1 time/second are transmitted to the ground operation and maintenance platform through a network, the charging time value of the newly loaded capacitor is collected and tidied, the charging time value with the highest occurrence frequency and the charging time value with the highest occurrence frequency are selected as the original value to carry out model training again, the charging time charged to the appointed voltage is monitored regularly, the current capacitance value of the capacitor is estimated, and the service life is predicted.",,,G06F2119/04 | G01R31/392 | G06F30/20,G06F119/04 | G01R31/392 | G06F30/20,general,2,半物理シミュレーションによるコンデンサ寿命予測。予測手法でレアイベント生成ではない
CN-116127718-B,CN,B,86303674,CN-202211641359-A,20260320,20221220,DNAPLs pollution analysis method and system in typical groundwater system,"The invention relates to a method and a system for analyzing DNAPLs pollution in a typical groundwater system, which comprises the steps of firstly collecting DNAPLs pollution research area information, then determining the research area range based on DNAPLs pollution research area information, presumably influencing DNAPLs pollution distribution characteristics, judging groundwater flow direction and flow state, determining corresponding initial conditions, boundary conditions, supply conditions and drainage conditions, constructing the typical groundwater system, identifying DNAPLs pollutant properties, pollution sources, pollution release mechanisms and pollution source area structures in the groundwater system based on the typical groundwater system, determining DNAPLs migration paths and migration conversion mechanisms in the groundwater system, constructing a DNAPLs pollution model in the typical groundwater system, and further analyzing DNAPLs pollution by utilizing a DNAPLs migration numerical model.",,,G06F2119/14 | G06F2113/08 | G06F17/18 | G06Q50/26 | G06F30/20 | G01D21/02 | G01N33/1826 | G01N33/18,G06Q50/26 | G06F119/14 | G06F113/08 | G06F17/18 | G01N33/18 | G01D21/02 | G06F30/20,general,1,地下水系DNAPLs汚染解析。初期/境界条件を用いた環境モデリング
CN-121525528-B,CN,B,98732823,CN-202610049004-A,20260320,20260115,Intelligent reconstruction method for fan vibration data missing based on deep network structure,"The invention discloses an intelligent reconstruction method for fan vibration data loss based on a deep network structure, which particularly relates to the field of data loss reconstruction, and comprises the steps of collecting fan vibration and working condition data, normalizing, designing three loss modes of random point, continuous block and channel total loss, constructing a data set, simultaneously establishing a normal working condition vibration characteristic memory bank, constructing three heterogeneous expert networks of time sequence prediction of a space-time transducer, physical simulation of a physical information neural network and contrast learning of a deep memory network, completing pre-training, constructing a dynamic arbitration fusion network, inputting expert high-level characteristics and meta-task characteristics, realizing dynamic weight distribution and divergence detection, carrying out physical verification correction on divergence results based on an energy flow and coherence constraint rule bank, carrying out weighted fusion according to expert results, and evaluating and outputting through reconstruction accuracy, physical rationality and real-time indexes.",,,G06F2111/04 | G06N3/09 | G06N3/0895 | G06N3/0985 | G06N3/0442 | G06N3/045 | G06F30/27,G06N3/0985 | G06N3/09 | G06N3/0895 | G06N3/045 | G06N3/0442 | G06F111/04 | G06F30/27,general,2,ファン振動データ欠損の物理情報NN含む複数専門ネットワークによる再構成。データ補完目的
CN-120913037-B,CN,B,97548314,CN-202511445313-A,20260320,20251011,"Industrial visual countermeasure sample defense method and system based on physical simulation, electronic equipment and storage medium","The invention provides a physical simulation-based industrial visual countermeasure sample defense method, a physical simulation-based industrial visual countermeasure sample defense system, an electronic device and a physical simulation-based storage medium, which belong to the technical field of general image data processing or generation, and comprise the steps of acquiring original image data, and generating a physical simulation image through a physical simulation engine based on visual information of the material surface in the original image data; the method comprises the steps of generating a countermeasure network generator through two channels according to a physical simulation image, generating a countermeasure sample iteratively through the two channels, generating a countermeasure network discriminator through two channels based on a normal sample set and a countermeasure sample set, performing countermeasure training through the two channels, calculating a discriminator loss, calculating a generator loss based on the physical simulation image according to the discriminator loss, generating the countermeasure sample iteratively until a generator loss difference value is smaller than a preset value, and outputting a target countermeasure sample to realize defense on the industrial visual countermeasure sample. The invention can enhance the robustness and reliability of the industrial vision system by simulating physical characteristics of the real world.",,,G06N3/084 | G06N3/094 | G06N3/0475 | G06N3/045 | G06F30/27 | G06V10/774 | G06V10/764 | G06V10/82,G06V10/774 | G06V10/764 | G06N3/094 | G06N3/084 | G06N3/0475 | G06N3/045 | G06F30/27 | G06V10/82,general,4,物理シミュレーションに基づく産業視覚アドバーサリアルサンプル防御手法。物理ベースのアドバーサリアルサンプル生成に合致
US-12579335-B2,US,B2,87016762,US-202418418341-A,20260317,20230216,Overall hydraulic performance prediction method for sink-type dishwasher,"Method for predicting the overall hydraulic performance of a sink-type dishwasher. Process begins with unsteady numerical computation on a dishwasher pump under static conditions to obtain a characteristic pump curve. Using this curve, rotation velocity adaptation coefficient (A d ) and axial velocity coefficient (B d ) are determined. Mapping relationship is established between composite superposition virtual impeller and composite impeller. Passive rotation velocity of the volute and the nozzle flow rate are calculated using GMO model and virtual impeller. A jet mass source is established, using the nozzle flow rate and the volute&#39;s passive rotation velocity as boundary conditions. This leads to a non-submerged rotating jet flow computation with a multi-nozzle setup using the VOF method. This approach streamlines the dishwasher&#39;s intricate multi-physics, conserves computing resources, and effectively resolves issues related to free surface divergence and estimating the volute&#39;s passive rotation speed, leading to an accurate prediction of the dishwasher&#39;s overall hydraulic performance.",UNIV JIANGSU | WENLING FLUID MACHINERY TECHNOLOGY INSTITUTE JIANGSU UNIV,WANG XIKUN | LI YALIN | SUN HAICHAO | GAO YUHAN | LI MINGXUAN | FANG YUJIAN,G01M99/005 | A47L15/0086 | A47L15/0086 | G06F30/20 | G06F30/17 | Y02B40/00 | G06F2119/14 | G06F2111/10 | G06F30/17 | G06F30/17 | G01M99/005 | G06F30/20 | G01M99/005 | A47L15/0086 | G06F30/17,G01M99/00 | A47L15/00 | G06F30/17,general,1,食洗機の油圧性能予測CFD。製品設計目的でレアイベント生成ではない
CN-121528079-B,CN,B,98716079,CN-202610012982-A,20260317,20260107,VR-based hydrogen fuel cell car fire rescue treatment training exercise system,"The invention relates to the technical field of fire rescue training of hydrogen fuel cell automobiles and discloses a VR-based fire rescue treatment training exercise system for hydrogen fuel cell automobiles, which comprises a storage module, wherein the storage module is used for storing training data, constructing a knowledge graph based on the training data, constructing a basic vehicle model through the knowledge graph by the construction module, and generating an countermeasure sample based on the training data. The invention constructs an immersive training environment which is highly realistic, dynamically evolved, can be cooperated by multiple persons and has self-adaptive teaching capability through integrating advanced technologies such as knowledge graph, countermeasure sample generation, physical simulation, natural language interaction, intelligent behavior analysis and the like. An operator can repeatedly exercise the standardized disposal flow of various hydrogen fuel cell car accidents under the zero risk condition, obtain real-time principle explanation and operation correction, and obviously improve emergency disposal capacity and safety awareness.",,,G06N5/02 | G06F3/011 | G06Q50/2057 | G09B9/00,G06Q50/20 | G06N5/02 | G06F3/01 | G09B9/00,general,3,VR水素燃料電池車火災救助訓練システム。物理シミュレーション+アドバーサリアルサンプル生成でハザードシナリオ訓練に近い
CN-120278440-B,CN,B,96241871,CN-202510343353-A,20260317,20250321,Power system multi-resource collaborative planning method and system based on attribution analysis,"The invention relates to a multi-resource collaborative planning method for an electric power system based on attribution analysis, and belongs to the technical field of electric power system planning. The method comprises the steps of constructing an objective function based on the load requirement of a power system and the output of each unit, taking the lowest supply-demand mismatch degree as a target, constructing a planning model based on set constraint and objective function, respectively solving the planning model based on multiple groups of boundary condition values of the planning model to obtain corresponding planning schemes, analyzing to obtain quantitative representations of influence degrees of each boundary condition and each constraint on the planning schemes, respectively adjusting the corresponding boundary condition values based on the quantitative representations, respectively solving the planning models, and selecting the planning scheme with the lowest planning cost in the solving result as an optimal planning scheme. According to the invention, the key factors influencing the planning scheme are determined by carrying out attribution analysis on the power planning, and the optimal planning scheme is determined by adjusting the key factors, so that the scientificity and the economical efficiency of the planning scheme are further improved.",,,H02J2103/30 | H02J2103/35 | G06F2111/04 | G06F2113/04 | G06F30/20 | G06Q50/06 | G06Q10/06315 | H02J3/00,H02J103/40 | H02J103/35 | H02J103/30 | H02J3/00 | G06Q50/06 | G06F113/04 | G06F111/04 | G06F30/20 | G06Q10/0631,general,2,電力系統多資源協調計画。複数境界条件シナリオを分析するが計画最適化目的
CN-119494238-B,CN,B,94620647,CN-202411498238-A,20260317,20241025,"Intelligent early warning method, device and storage medium for basic flushing of offshore wind turbine","The invention discloses an intelligent early warning method, device and storage medium for basic scouring of an offshore wind turbine, and belongs to the technical field of structural safety early warning; the method comprises the steps of performing basic flushing simulation, collecting time domain data of pile top displacement and pile body node stress, establishing a plurality of proxy models, dividing the time domain data into a training set and a verification set to obtain training and verification results, optimizing an optimal proxy model by using two verification indexes of verification errors and a reserved error, obtaining fan foundation response by taking different flushing conditions as input parameters, comparing the fan foundation response with a set safety early warning threshold, and performing safety warning if the fan foundation response reaches or exceeds the safety early warning threshold. The invention can solve the problems that the initial condition of the traditional experimental method is difficult to reproduce, the influence of the experimental scale on the measurement result is high in cost and the defect that the full coverage of the scouring condition can not be realized by finite element simulation.",,,G06F18/217 | G06F18/214 | G06F30/27 | G06F30/23,G06F30/27 | G06F18/214 | G06F18/21 | G06F30/23,general,3,洋上風力基礎洗掘早期警報。従来手法の初期条件再現困難・洗掘条件網羅不可という課題に対処するプロキシモデル
CN-118940624-B,CN,B,93347705,CN-202410986167-A,20260317,20240722,"Model training method, device and readable storage medium","The application discloses a model training method, a model training device and a readable storage medium, which relate to the technical field of computers and are used for improving the energy consumption optimizing effect of refrigeration equipment. The method comprises the steps of inputting multiple groups of verification parameters of the refrigeration equipment into a scene simulation model to obtain scene simulation data corresponding to each group of verification parameters, wherein the refrigeration equipment is used for cooling multiple network equipment, the multiple groups of verification parameters comprise multiple groups of refrigeration parameters under different boundary conditions, the scene simulation data comprise energy consumption of the refrigeration equipment and temperature data of each network equipment area, training the reinforcement model based on the multiple groups of verification parameters to obtain a target reinforcement model, the target reinforcement model is used for determining target refrigeration parameters based on the current boundary conditions of the refrigeration equipment, the target refrigeration parameters are refrigeration parameters with minimum energy consumption of the refrigeration equipment in the multiple groups of refrigeration parameters to be selected, and the temperature data of each network equipment area is smaller than a temperature threshold when the refrigeration equipment executes the refrigeration parameters to be selected.",,,Y02D10/00 | G06F2119/08 | G06F2119/06 | G06F2119/14 | G06F2113/08 | G06T17/00 | G06N3/092 | G06F30/28 | G06F30/27,G06T17/00 | G06N3/092 | G06F119/14 | G06F119/08 | G06F119/06 | G06F113/08 | G06F30/28 | G06F30/27,general,3,冷凍設備の複数境界条件下でのシーン シミュレーションデータで強化学習モデルを訓練。境界条件バリエーションによる訓練データ生成
CN-121456271-B,CN,B,98579438,CN-202610002486-A,20260313,20260105,Rapid calculation method for broadband sound field of shallow sea complex fluctuation boundary,"The application belongs to the technical field of marine acoustics, and provides a rapid calculation method of a shallow sea complex fluctuation boundary broadband sound field, which comprises the steps of establishing an equivalent source model, extracting a plurality of discrete frequency points from a target frequency band to generate a discrete frequency point combination, sequentially extracting the discrete frequency points from the discrete frequency point combination as first discrete frequency points, and solving the first discrete frequency points The method comprises the steps of determining source intensity of each virtual sound source of an equivalent source model at each first discrete frequency point by a dimensional matrix equation until a trend of the source intensity of each virtual sound source changing along with the first discrete frequency points meets a frequency domain continuation condition of the source intensity, determining the source intensity of each virtual sound source at each second discrete frequency point based on the frequency domain continuation of the source intensity, and calculating a broadband sound field of a target shallow sea area based on the source intensity of each virtual sound source at each discrete frequency point in a discrete frequency point combination. The rapid calculation method provided by the application can remarkably reduce the calculated amount of calculating the shallow sea broadband sound field by using the equivalent source model under the complex fluctuation boundary condition.",,,G06F30/20 | G06F17/16,G06F30/20 | G06F17/16,general,1,浅海複雑変動境界での広帯域音場高速計算。境界条件を用いた音響解析手法
CN-120974971-B,CN,B,97658245,CN-202511075846-A,20260313,20250801,Wind field data modeling method and system for wind resistance test of small and medium-sized unmanned aerial vehicle,"The invention discloses a wind field data modeling method and system for a wind resistance test of a medium-sized and small-sized unmanned aerial vehicle, which comprise the steps of collecting topographic data, wind speed data and wind turbine data of the test wind field, determining a preset area and an unmeasured area according to a preset track of the unmanned aerial vehicle based on the test wind field, obtaining boundary conditions and disturbance grid wake of the unmeasured area through fluid simulation based on the topographic data and the preset area, carrying out wind speed vector decomposition on grids according to the preset wind field boundary conditions, obtaining a preset wind field model according to disturbance time sequences, maneuvering weights of the unmanned aerial vehicle and disturbance grid wake, obtaining a predicted wind field of the unmeasured area through Gaussian process regression based on the preset wind field model, and obtaining a target wind field model through grid time sequence coupling by using different preset tracks of the unmanned aerial vehicle. According to the method, through space-time collaborative interpolation and fluid simulation of Gaussian process regression, the inlet boundary condition is more in accordance with the fluid mechanics rule, and the physical consistency and reliability of a target wind field are improved.",,,G06F30/15 | G06F2123/02 | G06F2119/14 | G06F2113/08 | G06F18/27 | G06F18/213 | G06F30/27 | G06T17/205 | G06F30/23 | G06F30/28 | G01D21/02,G06T17/20 | G06F123/02 | G06F119/14 | G06F113/08 | G06F30/27 | G06F30/23 | G06F30/15 | G06F18/27 | G06F18/213 | G01D21/02 | G06F30/28,general,2,UAV耐風試験用風況データモデリング。流体シミュレーションで境界条件を得るが試験モデリング目的
US-2026070567-A1,US,A1,97916149,US-202519244125-A,20260312,20240621,Computer-implemented method and system for planning the behavior of an at least partially automated ego vehicle,"A computer-implemented method for planning the behavior of an at least partially automated EGO vehicle. The method uses a data basis of predefined partial situations and an evaluation model for each of these partial situations as well as a predefined set of rules for assessing possible behaviors of the EGO vehicle in a given situation. The method includes decomposing the given situation into a set of partial situations of the data basis and determining boundary conditions for the behavior of the EGO vehicle on the basis of the evaluation models of the identified partial situations. In doing so, a specified specialization hierarchy for the partial situations of the data basis is used.",BOSCH GMBH ROBERT,HEINZEMANN CHRISTIAN | FREIENSTEIN HEIKO | OEHLERKING JENS | MUELLER JOHANNES CHRISTIAN | BERGER JORAM | BUTZ MARTIN | HERRMANN MARTIN | RITTEL MICHAEL | KOHLHAAS RALF | KNOOP STEFFEN,B60W2050/0052 | B60W2050/0028 | B60W2555/60 | B60W60/0013 | B60W60/0015 | B60W60/00272 | B60W60/00276 | B60W30/18159 | B60W50/0098 | B60W40/04 | B60W2555/60 | B60W60/0015 | B60W60/0013 | B60W2050/0052 | B60W2050/0028 | B60W50/0098,B60W60/00 | B60W50/00,general,2,Bosch: 自動運転車の行動計画。境界条件はあるがオンライン計画でシナリオ生成ではない
WO-2026052586-A1,WO,A1,96948039,EP-2025074864-W,20260312,20240903,Computer implemented method of dynamically operating a methanation plant and a methanation plant control unit for dynamically operating a methanation plant,"The present disclosure relates to a computer implemented method and to a methanation plant control unit for dynamically operating a methanation plant (1) for producing methane and / or methanol. A digital plant twin (50) of the methanation plant (1), is provided or accessed, which comprises a plurality of digital components (51) each representing at least one methanation plant component, and respective operating boundary conditions (52) for the plurality of digital components (51). Estimated electric energy profile (44) are received indicative of the expected available electric energy to the methanation plant (1). Further, a required methane output profile (45) is received indicative of the required methane output of the methanation plant (1). The digital plant twin (50), is configured to determine the control commands (43) for operating the methanation plant (1) using the operating boundary conditions (52), the estimated electric energy profile (44) and the required methane output profile (45).",TURN2X GMBH,WEILER MALWIN,G05B19/41885 | G05B2219/32017 | G05B2219/32342 | G05B2219/32343 | G05B2219/32349 | C10L3/08 | G05B17/02,G05B19/418 | C10L3/08 | G05B17/02,general,1,メタネーションプラントのデジタルツイン制御。運用最適化目的
WO-2026052587-A1,WO,A1,96989391,EP-2025074865-W,20260312,20240903,Computer implemented method of dynamically operating a fleet of methanation plants and a methanation fleet control device,"The present disclosure relates to a computer implemented method and to a methanation fleet control unit for dynamically operating a fleet (40) of methanation plants (1) for producing methane and / or methanol. A digital fleet twin (50) of the fleet (40), is provided or accessed, which comprises a plurality of digital methanation plants (52) each representing at least one methanation plant, and respective operating plant boundary conditions (51) for the plurality of digital plants (52). Further, a required methane output profile (60) is received indicative of the required methane output of the fleet (40) of the methanation plants (1). The digital fleet twin (50), is configured to determine control commands (43) for operating the fleet (40) of the methanation plants (1) using the digital fleet twin (50) and the required methane output profile (60).",TURN2X GMBH,WEILER MALWIN,G05B2219/32349 | G05B2219/32343 | G05B2219/32342 | G05B2219/32017 | G05B19/41885 | G05B17/02,G05B19/418 | C10L3/08 | G05B17/02,general,1,メタネーションプラント群の艦隊デジタルツイン制御(同上の重複系統)
US-12572721-B2,US,B2,78820724,US-202117349100-A,20260310,20201113,Building performance analysis (BPA) machine: machine learning to accelerate building energy analysis,"A method and system generate a building operational performance analysis output. A synthetic data set is generated and includes a set of 3D building conceptual mass geometries. The generating includes identifying geometry types, dividing the geometry types into categories, and algorithmically generating the mass geometries using a separate workflow for each category using generative design. Analytical models associated with each of the mass geometries are generated. Simulation results are generated for each of the analytical models. A surrogate model is trained based on a set of features extracted from the simulation results using machine learning (ML). The ML iteratively determines the set of features based on a measured accuracy of the surrogate model. Geometry input is received and processed through the surrogate model to generate the building operational performance analysis output which is then used to inform a designer of an approximate Energy Use Intensity of the geometry input.",AUTODESK INC,RAHMANI ASL MOHAMMAD | KRON ZACHARY MICAH | TOULKERIDOU VARVARA | FLOYD MICHAEL TRAVIS | MOLLOY IAN | VAIDHYANATHAN VISHAL | AMOUR GRACELINE R | AMPANAVOS SPYRIDON,G06F30/17 | G06F30/13 | Y02P90/82 | G06F30/27 | G06F2119/08 | G06Q50/08 | G06Q10/06393 | G06F30/27 | G06F30/27 | G06F30/13 | G06F30/13 | G06F30/17 | G06F30/13 | G06F30/27,G06F30/17 | G06F30/13 | G06F30/27,general,3,Autodesk: 生成的デザインで建物形状の合成データセットを生成しサロゲートモデルを訓練。物理ベースの合成データ生成に近い
US-12573182-B2,US,B2,66589896,US-202418412440-A,20260310,20180508,Computer vision and speech algorithm design service,"A synthetic world interface may be used to model digital environments, sensors, and motions for the evaluation, development, and improvement of computer vision and speech algorithms. A synthetic data cloud service with a library of sensor primitives, motion generators, and environments with procedural and game-like capabilities, facilitates engineering design for a manufactural solution that has computer vision and speech capabilities. In some embodiments, a sensor platform simulator operates with a motion orchestrator, an environment orchestrator, an experiment generator, and an experiment runner to test various candidate hardware configurations and computer vision and speech algorithms in a virtual environment, advantageously speeding development and reducing cost. Thus, examples disclosed herein may relate to virtual reality (VR) or mixed reality (MR) implementations.",MICROSOFT TECHNOLOGY LICENSING LLC,EBSTYNE MICHAEL | ESCOS PEDRO URBINA | PEKELNY YURI | CHAN JONATHAN CHI HANG | Shalev Emanuel | KIPMAN ALEX | FLICK MARK,G06F18/214 | G10L15/01 | G06F11/3684 | G06F2111/18 | G06F30/20 | G06F30/27 | G06F2111/18 | G06F11/3684 | G10L15/01 | G06F18/217 | G06V10/774 | G06V10/774 | G06F2111/18 | G06F18/214 | G10L15/01 | G06F30/20 | G06F11/3684 | G06V10/774,G10L15/01 | G06F111/18 | G06F30/20 | G06F18/214 | G06F11/3668 | G06V10/774,general,3,Microsoft: 合成データクラウドサービスで多様な仮想環境・センサ条件を生成しCV/音声アルゴリズムを試験
US-12570318-B1,US,B1,99012502,US-202418753800-A,20260310,20240625,Auto-calibration for personalized self-driving experience,"An apparatus comprising an interface and a processor. The interface may receive baseline driving data of a driver, pixel data of an environment near a vehicle and vehicle navigation input from the driver. The processor may initialize a programmable driving stack for the vehicle in response to the baseline driving data of the driver, monitor for intervention events from the driver, determine edge case parameters for the driver in response to an analysis of the intervention events, generate a personalized driving model for the driver in response to the baseline driving data and the edge case parameters and update the programmable driving stack using the personalized driving model. The analysis of the intervention events may comprise the video-to-text analysis of the video frames to generate a text description of the environment. An AI model may generate the edge case parameters in response to the text description.",AMBARELLA INT LP,BLOOMQUIST JR ROBERT DALE,G10L15/183 | G10L15/22 | B60W2556/10 | B60W50/06 | B60W60/0013 | B60W2050/0083 | B60W2050/0075 | B60W50/14 | B60W2050/0088 | G06V20/58 | G06V20/41 | B60W2420/403 | G06F40/40 | G10L15/22 | B60W2050/0083 | B60W50/06 | G06F40/40 | B60W2420/403 | G10L15/183 | G06V20/58 | G06V20/41 | B60W60/0013 | B60W2420/403 | B60W2050/0083 | G10L15/22 | G10L15/183 | G06V20/58 | G06V20/41 | G06F40/40 | B60W50/06 | B60W60/0013,G10L15/22 | G10L15/183 | G06V20/58 | G06V20/40 | G06F40/40 | B60W50/06 | B60W50/00 | B60W60/00,general,4,Ambarella: 運転介入イベントからエッジケースパラメータを特定しパーソナライズド運転モデルを生成。エッジケース抽出に合致
CN-121257233-B,CN,B,98198544,CN-202511825109-A,20260310,20251205,Simulation method for extrusion process of asymmetric aluminum profile,"The invention discloses an asymmetric aluminum profile extrusion process simulation method, which particularly relates to the technical field of metal forming simulation, and comprises the steps of constructing an asymmetric profile geometric model and extracting key structural parameters, establishing a multi-cavity welding die thermal-force coupling simulation model, constructing a dynamic recrystallization structure evolution model, setting extrusion process initial conditions and performing finite element simulation, comparing simulation results with historical working conditions, identifying abnormal areas and extracting flow track feature vectors, inverting microstructure evolution paths by combining tissue parameters to generate a defect prediction matrix, solving optimal process parameters through a numerical optimization algorithm, and re-simulating to verify whether tissue and stress field distribution reach standards or not.",,,G06F2119/14 | G06F30/27 | G06F30/23,G06F119/14 | G06F30/27 | G06F30/23,general,2,アルミ押出成形プロセスシミュレーションで欠陥予測。製造プロセス解析目的
CN-116227163-B,CN,B,86590418,CN-202310065841-A,20260310,20230119,Intelligent collaborative master control system for physical simulation of ultra-large deep engineering disasters,"The invention provides an intelligent cooperative master control system for physical simulation of ultra-large deep engineering disasters, and relates to the technical field of physical simulation of deep engineering disasters. The system comprises a cross-protocol transparent high-efficiency communication architecture responsible for communication and data transmission among all the constituent systems of the physical simulation facility, a test big data storage and fusion analysis module used for multi-source heterogeneous test big data storage and fusion analysis, a multi-task joint planning module used for making and planning a physical simulation test task plan, an intelligent dynamic cooperative control module used for constructing a cooperative control model and carrying out real-time dynamic cooperative control on a physical simulation test field process, a cooperative control model autonomous optimization module used for realizing continuous optimization of the cooperative control model, and a multi-task intelligent execution fault-tolerant module and a multi-task integrated display module used for providing intelligent fault tolerance and integrated display functions. The system can realize intelligent dynamic cooperative control of a plurality of strong coupling systems of the ultra-large deep engineering disaster physical simulation facilities.",,,Y02P90/02 | G06Q50/08 | G06Q10/06393 | G06Q10/06315 | G06Q10/04 | G06F30/20,G06Q50/08 | G06Q10/0639 | G06Q10/0631 | G06Q10/04 | G06F30/20,general,3,深部工学災害の物理シミュレーション協調制御システム。災害物理シミュレーションだが制御基盤自体が対象
CN-121234627-B,CN,B,98156070,CN-202511793680-A,20260306,20251202,Method for designing composite foundation of reconstruction and extension pile foundation based on new foundation and old foundation rigidity cooperation,"The invention discloses a new and old foundation rigidity synergy-based reconstruction pile foundation composite foundation design method, which comprises the steps of dividing a joint of a new foundation and an old foundation into a plurality of areas according to rigidity differences, respectively establishing a power control equation of each area cushion layer, respectively setting boundary conditions and continuity conditions of each area cushion layer, solving power response complete solutions of each area cushion layer, combining the boundary conditions and continuity conditions with the cushion layer power response complete solutions to obtain undetermined coefficients in the complete solutions, substituting the determined undetermined coefficients to complete solution expressions, and further quantifying influences brought by the new and old foundation rigidity differences through displacement and internal force expressions, thereby guiding the reconstruction pile foundation composite foundation design. According to the invention, the rigidity difference is used as a core factor to be introduced into a dynamic model, a dynamic equation is derived from a vibration elastic sheet theory, the problems of two ends and the joint of a new foundation and an old foundation are fully considered, the key effect of pile-soil coordination rigidity is revealed through partition modeling, the foundation design is guided, and the differential deformation is reduced.",,,G06F2119/14 | E01C3/00 | G06F30/13 | G06F30/20,G06F119/14 | G06F30/13 | E01C3/00 | G06F30/20,general,1,杭基礎設計の境界条件計算。土木設計解析目的
